id	name	category	lat	lng	address	description	dogFriendlyScore	routePriorityScore	accessibilityScore	safetyScore	dogSizeAllowed	indoorAllowed	parkingAvailable	reservationRequired	leashRequired	source	lastChecked	notes
park-dukyi-001	일산서구 반려동물공원	PARK	37.6882	126.7652	고양시 일산서구 경의로 766	대형견·소형견 모두 추천. 배변처리 편의 좋음. 야간 이용 가능. 활동량 많은 반려견 추천.	5	5	4	4	SMALL|MEDIUM|LARGE	FALSE	TRUE	FALSE	TRUE	고양원픽|좌표보정	2026-05-10	좌표 입력 필요. 실제 야간 조명 밝기, 피크 시간 혼잡도는 현장 확인 필요. 주소 기준 온라인 보정 좌표. 최종 현장/지도 확인 권장.
toilet-dukyi-001	일산서구 반려동물공원 내 배변처리 지점	TOILET	37.68835	126.76535	고양시 일산서구 경의로 766	배변봉투 있음 / 쓰레기통 있음 / 산책 시작 전·귀가 전 추천.	4	5	4	4	SMALL|MEDIUM|LARGE	FALSE	TRUE	FALSE	TRUE	고양원픽|좌표보정	2026-05-10	좌표 입력 필요. 배변봉투 재고 상태, 악취·위생 상태는 실시간 확인 필요. 공원 내 배변처리 후보 지점. 공원 좌표 기준 소폭 보정. 정확 위치 현장 확인 필요.
toilet-dukyi-002	탄현공원 배변봉투 수거함	TOILET	37.6974	126.7667	탄현공원	배변봉투 수거함 후보. 탄현 생활권 산책 중간 경유지로 적합.	3	3	3	3	SMALL|MEDIUM|LARGE	FALSE		FALSE	TRUE	국민일보|좌표보정	2026-05-10	좌표 입력 필요. 정확한 위치, 현재 유지 여부, 야간 조명, 위생 상태 확인 필요. 탄현공원 중심부 기준 보정 좌표. 배변봉투 수거함의 실제 위치 현장 확인 필요.
cafe-dukyi-001	카페더공생	CAFE	37.69251493	126.7574248	경기 고양시 일산서구 탄중로 111	소형견 중심 애견카페. 실내·실외 이용 가능. 산책 후 휴식/보호자 식사 추천.	4	5	4	4	SMALL|MEDIUM	TRUE	TRUE	FALSE	TRUE	트립인포|다이닝코드|좌표보정	2026-05-10	좌표 입력 필요. 운영시간 자료 상충. 물그릇 제공, 혼잡도 미확인. 탄중로 111 주소 좌표 적용. 운영시간/혼잡도 확인 필요.
cafe-dukyi-002	테일더블루	CAFE	37.69905311	126.7535758		소형견 루프탑 애견카페. 실내+야외 공간. 반려견 식사 가능.	5	5	4	4	SMALL	TRUE	TRUE		TRUE	반려생활|알바몬|좌표보정	2026-05-10	주소/좌표 입력 필요. 최신 운영시간, 입장료, 물그릇, 예약 필요 여부 확인 필요. 하이파크2로 40 금문프라자 주소 좌표 적용. 운영조건 확인 필요.
store-dukyi-001	폴리파크 덕이점	PET_STORE	37.69345	126.76015		24시간 산책용품 보충 장소. 사료·간식·위생용품 구매 후보. 야간 산책 전 경유 추천.	4	5	5	4	SMALL|MEDIUM|LARGE	TRUE	TRUE	FALSE	TRUE	멍클럽|폴리파크|좌표보정	2026-05-10	주소/좌표 입력 필요. 실제 무인 시간, 특정 재고, 대형견 용품 보유량 확인 필요. 경의로 847-5 주소 기준 보정 좌표. 정확 좌표 최종 확인 권장.
store-dukyi-002	펫존 덕이점	PET_STORE	37.6951	126.76183	경기 고양시 일산서구 경의로 873	반려견 동반 입장 가능 용품점. 산책 전 준비/물품 보충 추천.	4	4	4	4	SMALL|MEDIUM|LARGE	TRUE	TRUE	FALSE	TRUE	펫온|멍클럽|좌표보정	2026-05-10	좌표 입력 필요. 운영시간 충돌. 앱에는 운영시간 확인 필요 표시 권장. 경의로 873 주소 기준 보정 좌표. 운영시간 충돌 확인 필요.
store-dukyi-003	펫투데이	PET_STORE	37.6968	126.7472	경기 고양시 일산서구 덕이동 533-1	사료·간식·배변패드 구매 후보. 용품점 보조 핀으로 적합.	3	3	3	3				FALSE	TRUE	생활정보114|좌표보정	2026-05-10	좌표 입력 필요. 반려견 동반 입장 가능 여부, 운영시간, 주차 여부 확인 필요. 덕이동 533-1/덕이로 134 주소 기준 보정 좌표. 동반 입장 여부 확인 필요.
hospital-dukyi-001	돌봄동물병원	HOSPITAL	37.69915055	126.7539582	경기 고양시 일산서구 하이파크2로 42	덕이동 하이파크시티권 근처 병원. 정기검진/산책 중 이상 발생 시 후보.	3	5	4	4	SMALL|MEDIUM|LARGE	TRUE		TRUE	TRUE	비마이펫|좌표보정	2026-05-10	좌표 입력 필요. 운영시간, 예약 필요 여부, 야간·응급진료 여부 확인 필요. 하이파크2로 42 주소 좌표 적용. 운영시간/예약/응급진료 확인 필요.
hospital-dukyi-002	조이동물병원	HOSPITAL	37.69251493	126.7574248	경기 고양시 일산서구 탄중로 111 양우로데오메인타운	덕이동 로데오거리권 병원. 카페더공생·펫존 근처 안전망 후보.	3	5	4	4	SMALL|MEDIUM|LARGE	TRUE		TRUE	TRUE	펫포털|업체창고|좌표보정	2026-05-10	좌표 입력 필요. 야간·응급진료 여부, 예약 여부, 주차, 주요 진료과목 확인 필요. 탄중로 111 양우로데오메인타운 주소 좌표 적용. 진료정보 확인 필요.
